C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_39_680.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_39_680.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_39_680.jpg,0,0,0,3.076433E-06
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_39_746.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_39_746.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_39_746.jpg,0,0,0,2.012129E-05
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_39_825.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_39_825.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_39_825.jpg,0,0,0,6.467266E-06
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_39_904.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_39_904.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_39_904.jpg,0,0,0,1.100765E-05
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_39_983.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_39_983.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_39_983.jpg,0,0,0,2.109954E-06
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_40_050.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_40_050.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_40_050.jpg,0,0,0,8.80136E-07
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_40_128.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_40_128.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_40_128.jpg,0,0,0,1.104513E-05
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_40_208.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_40_208.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_40_208.jpg,0,0.0810948,0,0.05616286
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_40_287.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_40_287.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_40_287.jpg,0,0.3184536,0,0.2399933
C:\Users\Binh-Philippe\Desktop\IMG\center_2020_12_10_16_05_40_355.jpg,C:\Users\Binh-Philippe\Desktop\IMG\left_2020_12_10_16_05_40_355.jpg,C:\Users\Binh-Philippe\Desktop\IMG\right_2020_12_10_16_05_40_355.jpg,0,0.4794708,0,0.500542
